Customer_ID,Age,Annual_Income_INR,Employment_Years,Employment_Type,Education,Marital_Status,Home_Ownership,Loan_Amount,Loan_Term_Months,Existing_Debt,Debt_To_Income_Ratio,Credit_History_Years,Missed_Payments,Credit_Utilization_Percent,Number_of_Credit_Cards,Number_of_Active_Loans,Savings_Balance,Checking_Balance,Creditworthy_Target
770,39,1452282,16,Business,Bachelor,Divorced,Mortgage,226413,12,462335,47.43,25,0,98.5,2,4,2629109,768240,1
771,52,947843,32,Business,High School,Married,Own,1985288,84,161658,226.51,1,2,53.2,1,3,1417461,777566,0
772,69,694630,38,Self-Employed,High School,Married,Own,1111152,84,953064,297.17,9,0,31.8,4,1,861498,634157,1
773,21,1129764,0,Salaried,High School,Married,Rent,2386762,24,1284274,324.94,12,0,21.1,7,0,238222,103406,0
774,56,236212,35,Salaried,High School,Single,Rent,929201,60,902239,775.34,7,1,26.9,4,1,2098601,892054,0
775,62,1322765,40,Salaried,Bachelor,Married,Rent,1120352,60,1067334,165.39,29,1,29.5,4,0,2422098,695567,1
776,67,2363971,45,Salaried,High School,Married,Mortgage,697069,12,214770,38.57,26,1,1.0,1,4,1231894,735710,1
777,41,1103207,15,Self-Employed,Master,Married,Mortgage,836180,72,1401026,202.79,17,1,31.5,7,5,2592806,649369,1
778,26,431274,0,Salaried,Bachelor,Married,Own,2133085,84,289888,561.82,13,1,59.3,6,5,1422617,518647,0
779,34,1820426,10,Self-Employed,PhD,Single,Own,1440142,36,789506,122.48,22,1,46.5,0,3,1434996,563760,1
780,62,474312,29,Salaried,High School,Divorced,Rent,1994336,84,1024809,636.53,21,0,39.8,2,5,139258,119299,0
781,64,629244,41,Salaried,High School,Married,Mortgage,282028,60,1284970,249.03,14,1,12.6,7,3,1570411,918802,1
782,52,519988,24,Unemployed,High School,Married,Own,1629707,72,1400327,582.71,24,1,66.0,5,0,1784508,803752,0
783,27,2230104,1,Salaried,High School,Single,Rent,1403004,48,898081,103.18,5,0,55.2,3,3,1474719,909552,1
784,26,2456561,1,Unemployed,Master,Married,Own,2736785,60,864426,146.6,8,1,44.7,4,3,1613347,714165,1
785,44,1501562,12,Salaried,Bachelor,Married,Mortgage,1299268,84,625699,128.2,0,0,1.0,1,3,1589238,264985,1
786,49,1612971,15,Salaried,PhD,Married,Own,354259,60,851719,74.77,3,3,35.2,6,4,2097474,336169,1
787,22,1677462,2,Salaried,Master,Divorced,Rent,2106665,48,1012264,185.93,5,2,53.7,5,5,307867,866775,0
788,54,1595872,28,Salaried,Bachelor,Married,Own,491583,24,970022,91.59,18,2,44.4,4,1,1591401,231957,1
789,47,1442317,26,Business,Bachelor,Single,Rent,2731757,48,888501,251.0,25,2,48.8,4,0,1300898,614792,1
790,21,2469139,0,Salaried,High School,Married,Rent,1181176,84,660867,74.6,17,5,58.7,4,3,1039847,658079,1
791,25,1880866,0,Salaried,Bachelor,Divorced,Rent,2364376,60,293641,141.32,13,1,48.1,3,0,1343625,183131,0
792,43,385177,17,Salaried,Bachelor,Divorced,Own,1984852,72,81258,536.41,8,1,58.0,1,2,2037437,84225,0
793,56,1089305,32,Salaried,High School,Divorced,Own,1421371,24,631157,188.43,3,3,28.1,3,5,2993143,33643,1
794,61,2440842,37,Self-Employed,Master,Married,Own,1773033,72,594755,97.01,17,1,20.5,6,3,663462,787250,1
795,42,1116493,18,Salaried,Master,Married,Mortgage,589016,48,912085,134.45,4,2,54.5,0,5,145959,290805,0
796,35,653310,11,Self-Employed,Master,Married,Rent,268425,48,1350378,247.78,23,0,58.6,3,0,1048401,226884,0
797,68,2194896,43,Salaried,High School,Single,Own,2310574,12,1052312,153.21,12,1,55.4,6,4,936416,909030,1
798,43,1625525,13,Business,Master,Married,Own,2877353,84,1207420,251.29,10,3,47.6,4,1,207993,593475,0
799,36,1485164,15,Salaried,Bachelor,Single,Rent,2592661,60,867164,232.96,0,0,38.5,0,0,1487985,24403,0
800,42,1154593,22,Business,High School,Married,Own,949941,36,1391135,202.76,7,2,49.2,6,1,1554387,303561,1
801,21,468544,0,Salaried,High School,Single,Mortgage,1106180,48,1409315,536.87,0,1,52.6,0,5,2541706,475216,0
802,35,1070768,5,Self-Employed,High School,Single,Rent,1108969,84,229247,124.98,21,0,53.8,3,2,2095835,477240,1
803,46,1194947,23,Salaried,High School,Married,Rent,2122540,72,958929,257.87,14,3,97.1,0,5,1383711,783694,0
804,66,2340484,43,Salaried,Bachelor,Married,Rent,1889707,36,758936,113.17,23,2,26.6,2,0,1972859,800629,1
805,57,892868,28,Salaried,Master,Married,Mortgage,2399608,72,1458027,432.05,16,1,100.0,3,3,873019,31700,0
806,59,526208,34,Self-Employed,PhD,Married,Rent,2838238,12,877092,706.06,28,0,19.9,2,2,470056,287027,0
807,47,1171865,16,Salaried,High School,Married,Own,1207526,48,23919,105.08,23,2,52.7,7,1,1605804,600436,1
808,26,2493200,4,Salaried,Bachelor,Single,Own,2004930,48,314888,93.05,4,0,21.1,4,3,1490558,33090,1
809,40,1298711,19,Self-Employed,High School,Married,Rent,1526238,60,194282,132.48,3,1,51.1,2,3,891080,570750,0
810,69,1059570,41,Salaried,High School,Single,Own,2866581,12,301455,298.99,26,1,64.6,2,0,2698937,77392,1
811,23,1727172,0,Salaried,Master,Divorced,Rent,1094322,36,143710,71.68,8,1,45.7,3,3,1644964,573001,1
812,64,1685157,34,Salaried,Master,Single,Mortgage,603393,24,1173049,105.42,22,2,64.5,2,1,1702645,74475,1
813,54,874343,27,Salaried,PhD,Divorced,Own,1167573,36,741198,218.31,18,2,36.5,6,4,2069580,738682,1
814,34,2425543,9,Business,Bachelor,Single,Rent,1875489,60,1007777,118.87,21,1,4.0,1,1,870657,459019,1
815,59,1555632,37,Business,Bachelor,Single,Own,2862422,12,1499863,280.42,8,1,57.5,5,1,1592347,951277,1
816,62,313634,40,Salaried,Bachelor,Divorced,Own,2495192,72,970781,1105.1,9,1,45.6,3,5,2689799,83280,0
817,23,1125559,0,Salaried,Bachelor,Married,Own,104158,12,718835,73.12,16,0,35.4,2,1,1828905,869732,1
818,26,2321045,3,Business,High School,Single,Own,1551622,48,400481,84.1,0,1,36.8,3,0,2555460,412669,1
819,53,1092590,26,Self-Employed,High School,Married,Own,519414,72,1131754,151.12,9,2,53.1,0,3,116152,487634,0
820,69,1497322,37,Salaried,PhD,Single,Mortgage,1118412,84,760154,125.46,15,1,28.7,4,3,2160792,697855,1
821,22,1601296,0,Business,High School,Single,Rent,2834642,84,1135356,247.92,6,5,52.5,5,3,1976400,622138,0
822,53,1814200,29,Business,Master,Single,Own,2955037,48,34604,164.79,8,1,68.8,4,2,2693025,879868,1
823,27,2203774,6,Salaried,High School,Single,Own,503346,48,244700,33.94,29,2,86.2,0,0,2909026,831439,1
824,52,526107,21,Business,Master,Single,Mortgage,465912,84,194919,125.61,8,3,73.1,4,1,417552,221431,0
825,51,1378850,21,Self-Employed,Master,Married,Own,2104120,12,1022074,226.72,27,2,48.2,0,0,1474934,274708,1
826,25,1417458,1,Business,High School,Married,Own,1262242,84,777376,143.89,27,2,50.2,2,5,2797695,876667,1
827,54,533557,26,Salaried,Bachelor,Single,Mortgage,1326855,12,475445,337.79,20,1,37.0,5,1,2408124,810065,1
828,64,1742551,42,Salaried,Master,Single,Rent,2626452,12,464508,177.38,4,3,35.7,7,3,303684,978084,1
829,63,454114,33,Salaried,High School,Single,Own,2765760,12,910214,809.48,6,1,62.4,7,1,1646716,915907,0
830,22,1238493,0,Salaried,High School,Divorced,Rent,2706418,24,1448504,335.48,28,1,38.8,4,3,1045444,625707,0
831,33,946177,9,Salaried,High School,Single,Rent,2359793,84,1493131,407.21,0,1,52.3,1,0,2111996,962425,0
832,32,539565,5,Salaried,High School,Single,Rent,2942127,24,707227,676.35,15,2,25.7,6,0,1538153,737220,0
833,43,2087782,18,Salaried,High School,Divorced,Own,2173590,48,1005756,152.28,17,0,72.4,2,1,929736,887467,1
834,28,746356,8,Business,High School,Married,Mortgage,2660300,72,125346,373.23,25,0,38.6,4,1,1251832,483037,0
835,62,772155,41,Salaried,High School,Single,Rent,1644118,84,1418163,396.59,26,0,66.8,1,1,2900592,965347,1
836,59,2162191,25,Business,PhD,Married,Own,200323,48,26763,10.5,8,2,30.9,2,1,1097268,74847,1
837,60,2215491,34,Salaried,High School,Single,Rent,2458552,36,513363,134.14,15,0,29.9,3,4,645434,907666,1
838,30,259972,8,Salaried,High School,Single,Rent,2792811,48,1087886,1492.74,19,2,71.6,5,2,337314,959940,0
839,21,824672,1,Business,Master,Married,Mortgage,971329,60,1454605,294.17,28,0,32.5,7,0,477292,789099,0
840,65,1824560,40,Salaried,Master,Divorced,Own,1313093,36,257260,86.07,16,1,13.6,1,5,159652,945266,1
841,35,1985282,1,Salaried,Bachelor,Divorced,Own,1737734,60,991519,137.47,3,3,24.2,4,3,136573,420644,0
842,53,2498584,28,Salaried,Bachelor,Married,Mortgage,1972276,72,281718,90.21,27,0,62.1,7,2,1599975,322775,1
843,65,1466806,31,Self-Employed,High School,Single,Own,2040516,12,75409,144.25,15,2,60.2,0,3,1623571,133904,1
844,22,197360,0,Business,PhD,Married,Own,1213113,72,635710,936.78,5,1,29.7,4,1,2387015,195741,0
845,21,2206824,0,Salaried,Master,Divorced,Mortgage,2570522,60,864934,155.67,5,3,32.4,6,2,1856702,866532,0
846,21,553625,0,Salaried,High School,Married,Rent,2450320,12,396090,514.14,6,2,58.5,0,0,574430,65484,0
847,28,460247,8,Business,Bachelor,Single,Rent,2829689,72,1459601,931.95,21,1,71.3,5,4,1948565,200192,0
848,23,1744014,3,Self-Employed,Bachelor,Divorced,Rent,1748961,48,924865,153.31,28,1,43.6,3,2,1330401,497818,1
849,61,1580854,28,Salaried,Master,Divorced,Rent,278502,12,657464,59.21,13,0,56.1,4,4,516694,359654,1
850,50,319178,17,Self-Employed,High School,Single,Mortgage,2544356,12,728538,1025.41,2,0,62.5,5,0,1950401,924768,0
851,69,572735,45,Salaried,PhD,Married,Rent,284498,12,696349,171.26,26,1,88.1,1,0,1954311,29771,1
852,60,1548312,31,Self-Employed,Master,Married,Rent,621625,36,167175,50.95,19,1,21.9,0,2,1269128,40941,1
853,68,772410,35,Salaried,Bachelor,Single,Mortgage,891265,48,909587,233.15,17,2,31.6,2,0,495319,272023,0
854,32,1766880,0,Salaried,Bachelor,Divorced,Own,595700,24,1177111,100.34,1,1,34.9,2,5,88880,611547,1
855,35,1135290,11,Salaried,Bachelor,Single,Rent,2185037,84,631831,248.12,29,1,61.6,2,0,2264979,355920,0
856,62,1544499,30,Business,Master,Single,Rent,1349111,12,638788,128.71,2,0,40.0,7,3,467307,835562,1
857,32,1281898,3,Business,Bachelor,Divorced,Rent,697016,84,1365687,160.91,18,0,51.2,5,2,825733,95979,1
858,23,1027228,0,Salaried,Master,Divorced,Rent,64017,24,916251,95.43,17,4,47.4,2,1,2026567,379702,0
859,53,974383,31,Salaried,Master,Single,Own,688355,12,446737,116.49,15,0,45.0,4,0,1266137,649077,1
860,60,1797694,31,Salaried,Bachelor,Married,Rent,2093916,48,5913,116.81,16,0,47.1,1,1,2462831,611976,1
861,68,1373374,45,Salaried,High School,Married,Rent,2393165,72,1234849,264.17,11,2,65.6,1,0,1101681,517665,0
862,66,1558763,41,Self-Employed,Bachelor,Married,Mortgage,923358,60,939600,119.52,17,0,25.6,0,3,2676230,443813,1
863,26,1519357,6,Self-Employed,High School,Married,Own,266069,72,939209,79.33,10,2,42.0,3,1,1103169,94045,1
864,58,661718,32,Salaried,High School,Divorced,Mortgage,1694033,48,424274,320.12,14,2,20.7,4,0,247779,65399,0
865,62,2298692,30,Salaried,Bachelor,Married,Own,2359544,84,279204,114.79,20,2,49.5,4,0,2162830,54624,1
866,55,1486474,26,Salaried,Bachelor,Married,Rent,256510,72,741556,67.14,22,1,41.1,4,5,1980254,504460,1
867,61,1845909,37,Salaried,High School,Married,Rent,2396847,12,1136718,191.43,4,0,66.4,1,1,2993318,884944,1
868,62,2226024,36,Self-Employed,Bachelor,Single,Rent,553400,48,446580,44.92,29,0,44.9,5,3,297709,89057,1
869,42,2325321,17,Salaried,High School,Single,Mortgage,810821,84,790560,68.87,2,0,36.1,4,2,1581989,65209,1
870,22,1727053,0,Self-Employed,Master,Single,Rent,1887434,72,1494391,195.81,8,0,40.1,7,2,2129028,684969,1
871,43,2006108,20,Self-Employed,Bachelor,Divorced,Own,201550,72,329044,26.45,10,3,79.5,1,5,1203116,500463,1
872,30,1274556,9,Business,High School,Married,Rent,951704,72,346263,101.84,9,2,13.6,0,4,786682,310097,1
873,26,1891679,0,Self-Employed,Master,Married,Rent,459716,60,353925,43.01,10,0,32.4,3,3,881097,17913,1
874,27,926075,0,Business,High School,Single,Rent,683429,36,1369289,221.66,9,0,45.7,1,1,32077,802502,0
875,55,1831334,28,Salaried,High School,Married,Rent,2331533,12,793149,170.62,13,1,32.3,1,5,1873434,659297,1
876,45,379256,22,Salaried,Bachelor,Married,Own,725097,36,1376949,554.26,22,1,54.8,1,0,2334994,587036,0
877,47,2301126,27,Salaried,High School,Married,Own,178323,24,1421633,69.53,24,2,43.9,5,3,1353549,234173,1
878,57,747534,23,Salaried,Master,Single,Rent,683717,72,631500,175.94,10,2,50.1,3,3,117893,935030,0
879,47,1703227,16,Self-Employed,Master,Single,Rent,305925,36,82388,22.8,7,2,47.4,6,5,2318507,62800,1
880,51,205953,29,Salaried,Master,Single,Mortgage,1887410,36,456004,1137.84,20,4,42.9,0,0,2724810,737742,0
881,25,541260,4,Salaried,Bachelor,Single,Own,2919880,84,815673,690.16,1,0,19.2,7,1,1820067,727643,0
882,62,2468972,41,Salaried,High School,Married,Rent,544689,24,571553,45.21,13,0,48.5,3,0,261240,724853,1
883,42,2113406,17,Salaried,High School,Married,Mortgage,2200133,72,3387,104.26,6,5,9.7,4,1,1235764,601937,1
884,28,696158,0,Salaried,High School,Married,Own,1119983,36,1484008,374.05,18,0,31.6,6,5,1707097,304612,0
885,60,483563,38,Self-Employed,Master,Married,Rent,261884,84,454799,148.21,2,2,54.8,3,0,2859033,455727,1
886,56,2070512,24,Salaried,High School,Divorced,Mortgage,2079266,84,928194,145.25,24,2,68.8,1,4,1497400,441916,1
887,23,2477191,3,Salaried,High School,Married,Own,669205,36,1420117,84.34,8,3,92.0,1,5,33793,866277,0
888,30,571256,0,Salaried,Bachelor,Married,Rent,1565329,72,817170,417.06,15,1,36.4,7,0,2113012,745568,0
889,21,1720349,0,Unemployed,Bachelor,Married,Rent,1545961,84,1041673,150.41,17,4,27.7,0,2,2068464,476339,1
890,34,837954,0,Business,PhD,Married,Own,1811978,60,53876,222.67,14,1,55.4,7,5,706371,722008,0
891,25,1906978,0,Salaried,PhD,Single,Mortgage,448084,84,1045139,78.3,13,0,82.4,5,4,1232374,969459,1
892,55,1150403,31,Salaried,Bachelor,Single,Own,790175,60,1271764,179.24,8,4,75.7,4,0,128794,692289,0
893,46,470821,23,Business,Master,Single,Mortgage,2225171,12,1377439,765.18,23,0,24.3,2,5,364865,356347,0
894,69,932621,37,Business,PhD,Married,Rent,2801508,60,125708,313.87,15,0,42.2,6,4,933158,7951,0
895,57,1429605,31,Self-Employed,Master,Single,Own,84587,24,342564,29.88,6,1,62.0,0,1,278086,878318,1
896,50,2032173,25,Self-Employed,Master,Married,Own,1270943,60,70458,66.01,7,0,63.4,5,2,828164,17321,1
897,45,228782,14,Self-Employed,Bachelor,Married,Mortgage,2650113,72,1376891,1760.19,13,1,56.8,1,1,1947956,509094,0
898,23,2401848,0,Self-Employed,High School,Single,Rent,896543,24,412287,54.49,25,1,36.0,2,3,1148125,67466,1
899,24,1687075,0,Business,Master,Single,Own,1370465,60,797251,128.49,28,1,56.7,0,4,443319,879464,1
900,51,2210683,25,Self-Employed,High School,Married,Own,2717762,48,713682,155.22,11,1,63.6,4,4,1873249,31583,1
901,21,2337724,1,Self-Employed,Master,Married,Rent,2908445,24,1033128,168.61,11,0,26.4,1,5,2568228,683531,1
902,23,536300,3,Business,Bachelor,Single,Own,1983104,72,1342933,620.18,3,2,71.6,0,0,1771392,772849,0
903,31,397455,11,Business,Bachelor,Married,Mortgage,2097704,72,485620,649.97,16,2,64.8,2,5,932783,732539,0
904,64,1981917,36,Salaried,Master,Single,Own,1861140,12,1185118,153.7,7,0,30.2,3,5,2419960,546894,1
905,43,615888,16,Unemployed,Bachelor,Married,Own,886701,36,436413,214.83,24,2,63.5,7,2,1031528,590836,0
906,55,523236,24,Salaried,High School,Married,Rent,2665867,12,296448,566.15,16,2,61.3,6,0,45594,504895,0
907,41,1266958,8,Salaried,Master,Married,Own,150518,60,159382,24.46,6,0,62.0,3,1,1980373,757128,1
908,29,2299044,7,Salaried,High School,Divorced,Mortgage,222693,84,558119,33.96,27,0,76.5,4,5,2155971,85599,1
909,39,2025805,5,Salaried,Master,Single,Mortgage,1825301,84,840731,131.6,24,0,44.8,6,0,660491,890111,1
910,25,1381478,0,Salaried,Master,Married,Rent,2521154,36,1170360,267.21,9,3,51.6,3,0,1130872,774623,0
911,58,635768,29,Unemployed,Bachelor,Single,Mortgage,2452003,24,1272556,585.84,3,2,1.0,6,0,21117,968664,0
912,29,960404,2,Salaried,Bachelor,Divorced,Mortgage,2049699,36,790638,295.74,7,1,67.3,5,1,1409962,92844,0
913,39,1777305,17,Business,High School,Single,Own,1160070,12,613422,99.79,11,0,65.4,5,4,1337488,209124,1
914,69,544299,45,Salaried,Master,Married,Own,1111978,36,261737,252.38,12,0,72.1,7,0,774385,221813,1
915,50,1396619,30,Salaried,Bachelor,Married,Rent,1305680,60,1371140,191.66,24,1,26.3,3,5,1583639,412489,1
916,43,207397,14,Salaried,High School,Divorced,Mortgage,806236,12,594082,675.19,29,0,64.2,0,2,2036827,818909,0
917,47,934197,21,Salaried,Master,Married,Mortgage,1286464,72,1146961,260.48,22,1,65.4,4,3,1337686,786750,0
918,59,755237,37,Unemployed,Bachelor,Married,Rent,359177,72,938903,171.88,25,3,32.0,2,3,2387017,692577,1
919,33,1760117,11,Salaried,Master,Married,Own,993616,36,1397214,135.83,3,2,66.1,0,4,1373975,396141,1
920,52,2300526,32,Salaried,Bachelor,Married,Mortgage,2826168,72,1459838,186.31,4,2,54.3,1,3,1227912,92613,1
921,63,519836,34,Business,Master,Single,Rent,2135445,48,1060252,614.75,27,0,11.0,4,0,1997216,694426,0
922,49,2029648,19,Salaried,Bachelor,Single,Mortgage,468640,84,992718,72.0,18,2,56.7,7,4,513959,73894,1
923,42,1701739,13,Salaried,Bachelor,Single,Rent,894513,48,205896,64.66,7,0,29.7,2,0,2537066,204084,1
924,28,2429921,7,Salaried,High School,Married,Own,815343,60,24292,34.55,23,0,11.5,4,3,1814888,406497,1
925,33,2294704,13,Self-Employed,Bachelor,Married,Rent,880933,72,819044,74.08,5,2,52.3,1,5,1096516,776564,1
926,67,413766,45,Salaried,Bachelor,Divorced,Rent,2088766,24,1057512,760.4,23,2,43.7,1,3,703428,603393,0
927,47,1904277,16,Self-Employed,Bachelor,Married,Rent,2690279,60,1119213,200.05,26,1,73.1,6,2,2370280,103733,1
928,35,1553854,4,Business,Master,Single,Rent,2144949,72,376297,162.26,14,1,48.6,4,1,41752,246760,0
929,41,442352,17,Salaried,Bachelor,Married,Mortgage,1490857,24,754806,507.66,19,1,60.6,1,4,188051,849230,0
930,49,776589,29,Self-Employed,Bachelor,Married,Mortgage,524267,72,1293238,234.04,21,3,55.2,4,3,1823057,585173,0
931,47,2330510,23,Business,Master,Married,Own,471523,24,143560,26.39,26,1,65.4,4,4,1440782,657530,1
932,55,1439624,23,Salaried,Bachelor,Married,Own,2451686,60,575834,210.3,17,3,27.3,0,5,515498,359403,0
933,33,965232,11,Salaried,Master,Married,Rent,2048995,36,1416787,359.06,8,0,49.0,2,3,1128455,815068,0
934,52,923455,21,Self-Employed,Master,Divorced,Rent,1555347,60,299422,200.85,6,1,42.2,6,2,2348690,588631,1
935,42,2123848,16,Self-Employed,High School,Single,Rent,1752716,24,475004,104.89,10,0,58.1,2,3,1397821,81128,1
936,67,837640,45,Salaried,Bachelor,Married,Rent,2552947,72,701920,388.58,1,1,50.1,5,2,1584374,725511,0
937,28,548622,0,Business,High School,Married,Rent,2450751,12,1032594,634.93,20,0,32.7,4,1,274433,288408,0
938,28,1511321,1,Salaried,Bachelor,Single,Mortgage,307491,36,382796,45.67,11,0,38.2,0,2,2163462,843162,1
939,43,2482623,13,Salaried,Bachelor,Married,Own,1215566,72,1188462,96.83,21,1,78.0,7,2,416487,638350,1
940,45,605298,24,Salaried,Bachelor,Single,Rent,176348,12,353732,87.57,1,0,11.1,7,1,700444,195846,1
941,54,772341,29,Business,High School,Married,Mortgage,1185147,72,552330,224.96,9,2,59.2,5,1,880439,29308,0
942,40,1268389,11,Salaried,Bachelor,Single,Own,1929121,36,859892,219.89,11,1,69.8,1,3,1292787,85120,0
943,65,643567,36,Self-Employed,High School,Single,Own,664788,24,18128,106.11,2,3,56.6,6,0,820594,246329,0
944,44,1689884,24,Business,Bachelor,Married,Rent,492570,72,1151019,97.26,24,1,84.4,0,0,2447255,118380,1
945,27,768404,0,Salaried,Bachelor,Married,Own,1498248,72,1003220,325.54,17,2,63.8,4,4,1155289,658426,0
946,26,477382,0,Salaried,Bachelor,Single,Rent,1598599,84,1252431,597.22,25,2,52.7,3,5,106756,165379,0
947,68,786142,37,Business,Bachelor,Married,Mortgage,2156599,48,412328,326.78,24,2,35.7,5,1,1371776,446408,0
948,27,2338978,4,Salaried,Bachelor,Married,Own,91620,24,596504,29.42,1,3,53.1,1,0,369823,324354,1
949,67,2348956,34,Salaried,High School,Single,Mortgage,781549,60,1347854,90.65,25,3,58.6,7,2,663517,657784,1
950,34,1353281,4,Salaried,Bachelor,Married,Own,2350791,60,100205,181.12,2,2,45.1,4,1,1773974,28635,0
951,25,1109061,5,Self-Employed,Bachelor,Divorced,Rent,2061838,84,736803,252.34,26,1,30.1,2,5,1857661,402225,1
952,35,2081304,14,Salaried,High School,Single,Own,2703614,72,725962,164.78,20,2,20.9,2,0,1999756,832538,1
953,51,630692,18,Business,Master,Divorced,Rent,2453571,36,671239,495.46,24,1,48.7,5,3,1127464,246241,0
954,41,1697060,18,Self-Employed,PhD,Divorced,Mortgage,2524704,48,650672,187.11,14,2,15.4,1,2,2513603,849055,1
955,59,1757719,38,Salaried,High School,Married,Own,1556405,60,1120921,152.32,4,2,35.6,2,2,180405,171851,0
956,50,1827202,24,Salaried,High School,Divorced,Mortgage,2877140,72,295468,173.63,4,0,1.0,7,4,1137441,713155,1
957,40,685633,13,Self-Employed,Master,Married,Rent,1277027,36,1336723,381.22,3,2,61.7,7,1,731090,282031,0
958,52,1841423,24,Salaried,PhD,Married,Mortgage,2714132,24,1344217,220.39,24,2,68.1,2,5,124171,356482,0
959,68,1599820,39,Salaried,Bachelor,Single,Rent,1205953,84,269088,92.2,16,1,46.6,4,5,1680441,522074,1
960,41,2210231,7,Salaried,Master,Married,Rent,1359853,84,1461222,127.64,6,1,81.6,3,2,170433,706748,0
961,28,584588,0,Self-Employed,High School,Single,Mortgage,2072678,36,393071,421.79,3,1,71.9,1,2,1820631,526661,0
962,41,1603564,21,Salaried,High School,Married,Rent,1225127,12,77620,81.24,2,0,54.6,2,1,2564545,574606,1
963,62,2104762,41,Salaried,High School,Single,Mortgage,483945,60,597098,51.36,7,2,42.7,0,4,2398982,289246,1
964,31,825463,11,Self-Employed,Bachelor,Married,Own,2693741,12,1193619,470.93,22,1,38.0,6,4,2043656,662345,0
965,67,1905566,42,Unemployed,Bachelor,Married,Own,1386133,24,1266897,139.23,26,1,56.2,1,2,736435,70837,1
966,49,410862,24,Salaried,Bachelor,Married,Rent,2784469,48,968574,913.46,18,1,42.2,1,4,1960581,87883,0
967,50,1845990,16,Self-Employed,High School,Married,Own,1227390,36,1216781,132.4,29,3,56.0,5,2,1686644,159553,1
968,36,1586501,11,Salaried,High School,Single,Rent,2919866,12,392154,208.76,11,0,57.4,1,4,1482622,874716,1
969,66,626719,45,Salaried,Bachelor,Single,Mortgage,1828566,36,1318483,502.15,9,0,40.4,7,4,1428315,613101,0
970,22,333938,0,Salaried,Bachelor,Divorced,Rent,2316535,60,952734,979.0,20,1,66.9,7,2,425332,348680,0
971,35,1909533,12,Business,Bachelor,Married,Mortgage,2278825,72,200373,129.83,4,1,40.4,3,3,2545545,625210,0
972,41,739800,8,Salaried,Bachelor,Married,Rent,645867,72,192964,113.39,27,2,45.4,1,3,2509417,269225,1
973,44,1334074,13,Business,Bachelor,Married,Own,2455683,36,400955,214.13,23,4,25.4,1,0,2189975,732616,1
974,44,320840,11,Salaried,Master,Married,Own,2837614,60,104109,916.88,1,1,39.6,6,0,1643140,390814,0
975,28,2415308,0,Self-Employed,Master,Married,Mortgage,2000340,36,424122,100.38,5,2,88.2,3,1,395956,618791,0
976,32,1453419,10,Salaried,High School,Single,Rent,2844067,60,1490233,298.21,18,0,27.0,4,1,1903674,247298,1
977,25,2341266,0,Self-Employed,Master,Single,Mortgage,2545957,12,360141,124.13,22,1,53.8,0,1,2876322,35379,1
978,49,551984,23,Unemployed,Bachelor,Married,Own,2015087,36,954554,537.99,6,2,35.9,6,5,397761,994169,0
979,38,657440,9,Unemployed,Bachelor,Married,Own,1457759,36,1466288,444.76,22,0,1.0,4,3,1065643,653267,0
980,48,1596144,17,Business,Bachelor,Single,Mortgage,2578976,60,379833,185.37,14,1,56.2,0,0,2717472,646214,1
981,49,1582428,22,Salaried,PhD,Married,Rent,597217,24,1044271,103.73,20,3,33.9,0,5,2863774,603232,1
982,55,2014807,31,Self-Employed,High School,Married,Rent,1705470,36,675050,118.15,12,1,51.4,7,1,1337176,896411,1
983,47,2333092,14,Unemployed,High School,Married,Rent,2456392,48,427966,123.63,13,1,64.8,0,5,855663,18627,1
984,52,2086763,23,Salaried,Master,Married,Rent,2835174,60,1425132,204.16,11,2,49.7,2,1,860560,951026,1
985,49,505310,16,Salaried,Bachelor,Single,Mortgage,837997,36,985066,360.78,4,1,51.6,0,0,1406816,459149,0
986,52,898140,29,Salaried,Master,Married,Own,327112,84,658087,109.69,5,0,27.6,0,0,958538,581240,1
987,51,2300069,19,Self-Employed,Bachelor,Married,Own,1033412,84,1218140,97.89,5,2,59.1,6,2,1651391,937892,1
988,36,1453574,12,Salaried,PhD,Single,Own,2598692,60,1350666,271.7,24,1,41.2,6,5,239074,800518,0
989,33,2191472,7,Salaried,High School,Married,Rent,1595297,48,1172223,126.29,12,2,5.0,2,3,190775,350062,1
990,59,1486184,27,Salaried,Master,Married,Mortgage,213735,48,1303213,102.07,11,3,61.5,1,0,14305,905289,1
991,37,295398,12,Self-Employed,Master,Married,Rent,402119,12,483015,299.64,25,1,67.7,1,1,2146996,83247,0
992,47,1277098,24,Salaried,PhD,Divorced,Mortgage,1050365,36,516234,122.67,26,0,74.6,2,2,2770823,150008,1
993,30,2093211,0,Business,High School,Married,Rent,1061065,72,349029,67.37,7,2,88.4,6,3,314131,227262,0
994,42,1699864,8,Salaried,Bachelor,Single,Rent,449210,60,1044013,87.84,10,4,60.5,4,5,2744584,269158,1
995,46,488048,22,Salaried,High School,Divorced,Rent,1507725,12,1204750,555.78,12,1,55.3,3,0,492488,673333,0
996,51,667402,27,Self-Employed,Master,Single,Mortgage,1463448,12,990747,367.72,25,1,66.8,0,0,144545,401614,0
997,46,2162147,23,Salaried,High School,Married,Own,637958,72,898806,71.08,20,1,27.3,0,4,870726,850293,1
998,38,2451844,18,Self-Employed,Bachelor,Single,Rent,735126,72,1156817,77.16,16,2,11.6,1,0,877715,622842,1
999,68,1926704,40,Business,High School,Single,Rent,2010051,36,272193,118.45,7,0,35.5,1,4,2882238,605355,1
